Metric,Value
route__drc_errors__iter:14,1
route__wirelength__iter:14,1668347
route__drc_errors__iter:15,1
route__wirelength__iter:15,1668347
route__drc_errors__iter:16,1
route__wirelength__iter:16,1668348
route__drc_errors__iter:17,1
route__wirelength__iter:17,1668348
route__drc_errors__iter:18,1
route__wirelength__iter:18,1668348
route__drc_errors__iter:19,1
route__wirelength__iter:19,1668344
route__drc_errors__iter:20,1
route__wirelength__iter:20,1668342
route__drc_errors__iter:21,0
route__wirelength__iter:21,1668343
route__drc_errors,0
route__wirelength,1668343
route__vias,379556
route__vias__singlecut,379556
route__vias__multicut,0
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,1469.11
timing__unannotated_net__count__corner:nom_tt_025C_1v80,720
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,720
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,720
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,93
design__max_fanout_violation__count__corner:min_tt_025C_1v80,3328
design__max_cap_violation__count__corner:min_tt_025C_1v80,1
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.4631157532991111
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.5157331374603803
timing__hold__ws__corner:min_tt_025C_1v80,0.31216097257316067
timing__setup__ws__corner:min_tt_025C_1v80,3.4496326771507992
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.312161
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,3.449633
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,720
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,1159
design__max_fanout_violation__count__corner:min_ss_100C_1v60,3328
design__max_cap_violation__count__corner:min_ss_100C_1v60,1
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.6224756442041527
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.7188272402996758
timing__hold__ws__corner:min_ss_100C_1v60,0.07210676704267331
timing__setup__ws__corner:min_ss_100C_1v60,-6.7159364415064
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-2922.744752947059
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-6.7159364415064
timing__hold_vio__count__corner:min_ss_100C_1v60,0
